Lookups: array_search; Text: array_search; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: debug; Text: debug; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: determine_transaction_entry_type; Text: determine_transaction_entry_type; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: extract_arrayref; Text: extract_arrayref; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: extract_datetime; Text: extract_datetime; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: extract_hashref; Text: extract_hashref; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: extract_iso8601; Text: extract_iso8601; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: extract_numeric; Text: extract_numeric; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: extract_required; Text: extract_required; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: extract_sql92; Text: extract_sql92; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: extract_uuid; Text: extract_uuid; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: from_file; Text: from_file; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: from_file_binary; Text: from_file_binary; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: get_exception; Text: get_exception; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: info; Text: info; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_array; Text: is_array; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_arrayref; Text: is_arrayref; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_blessed; Text: is_blessed; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_can; Text: is_can; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_datetime; Text: is_datetime; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_email; Text: is_email; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_empty; Text: is_empty; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_equals; Text: is_equals; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_filepath; Text: is_filepath; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_hash; Text: is_hash; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_hashref; Text: is_hashref; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_in; Text: is_in; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_integration_username; Text: is_integration_username; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_isa; Text: is_isa; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_iso8601; Text: is_iso8601; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_number; Text: is_number; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_numeric; Text: is_numeric; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_phone_number; Text: is_phone_number; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_scalar; Text: is_scalar; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_sql92; Text: is_sql92; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_sql92_date; Text: is_sql92_date; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_tax_id; Text: is_tax_id; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_undef; Text: is_undef; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: is_uuid; Text: is_uuid; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: load_module_by_name; Text: load_module_by_name; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: ltrim; Text: ltrim; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: optional_arrayref; Text: optional_arrayref; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: optional_datetime; Text: optional_datetime; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: optional_hashref; Text: optional_hashref; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: optional_in; Text: optional_in; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: optional_isa; Text: optional_isa; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: optional_numeric; Text: optional_numeric; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: optional_uuid; Text: optional_uuid; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: parse_datetime_iso8601; Text: parse_datetime_iso8601; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: random_alphanumeric_string; Text: random_alphanumeric_string; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: replace_all; Text: replace_all; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: rtrim; Text: rtrim; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: shell; Text: shell; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: sizeof; Text: sizeof; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: superref; Text: superref; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: throw_exception; Text: throw_exception; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: to_file; Text: to_file; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: trim; Text: trim; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: ucwords; Text: ucwords; Tail: null; Type: null; Icon: null; Type Icon: null
Lookups: unwrap; Text: unwrap; Tail: null; Type: null; Icon: null; Type Icon: null
