Lookups: -A; Text: -A; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: __END__; Text: __END__; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: __FILE__; Text: __FILE__; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: __LINE__; Text: __LINE__; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: __PACKAGE__; Text: __PACKAGE__; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: __SUB__; Text: __SUB__; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: abs; Text: abs; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: accept; Text: accept; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: accepts; Text: accepts; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: alarm; Text: alarm; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: and; Text: and; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: app; Text: app; Tail: ([$new_value]); Type: Mojolicious::Controller; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: atan2; Text: atan2; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: b; Text: b; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: bind; Text: bind; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: binmode; Text: binmode; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: bless; Text: bless; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: break; Text: break; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: button_to; Text: button_to; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: c; Text: c; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: caller; Text: caller; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: chdir; Text: chdir; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: check_box; Text: check_box; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: chmod; Text: chmod; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: chomp; Text: chomp; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: chop; Text: chop; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: chown; Text: chown; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: chr; Text: chr; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: chroot; Text: chroot; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: close; Text: close; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: closedir; Text: closedir; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: cmp; Text: cmp; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: color_field; Text: color_field; Tail: ($c, $name); Type: Mojolicious::Plugin::TagHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: config; Text: config; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: connect; Text: connect; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: content; Text: content; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: content_for; Text: content_for; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: content_with; Text: content_with; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: continue; Text: continue; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: cos; Text: cos; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: crypt; Text: crypt; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: csrf_button_to; Text: csrf_button_to; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: csrf_field; Text: csrf_field; Tail: ($c); Type: Mojolicious::Plugin::TagHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: csrf_token; Text: csrf_token; Tail: ($c); Type: Mojolicious::Plugin::DefaultHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: current_route; Text: current_route; Tail: null; Type: Mojolicious::Plugin::DefaultHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: date_field; Text: date_field; Tail: ($c, $name); Type: Mojolicious::Plugin::TagHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: datetime_field; Text: datetime_field; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: dbmclose; Text: dbmclose; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: dbmopen; Text: dbmopen; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: default; Text: default; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: defined; Text: defined; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: delay; Text: delay; Tail: ($c); Type: Mojolicious::Plugin::DefaultHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: delete; Text: delete; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: die; Text: die; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: do; Text: do; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: dump; Text: dump; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: dumper; Text: dumper; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: each; Text: each; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: email_field; Text: email_field; Tail: ($c, $name); Type: Mojolicious::Plugin::TagHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: endgrent; Text: endgrent; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: endhostent; Text: endhostent; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: endnetent; Text: endnetent; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: endprotoent; Text: endprotoent; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: endpwent; Text: endpwent; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: endservent; Text: endservent; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: eof; Text: eof; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: eq; Text: eq; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: eval; Text: eval; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: evalbytes; Text: evalbytes; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: exec; Text: exec; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: exists; Text: exists; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: exit; Text: exit; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: exp; Text: exp; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: extends; Text: extends; Tail: null; Type: Mojolicious::Controller; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: fc; Text: fc; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: fcntl; Text: fcntl; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: file_field; Text: file_field; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: fileno; Text: fileno; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: flash; Text: flash; Tail: null; Type: Mojolicious::Controller; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: flock; Text: flock; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: fork; Text: fork; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: form_for; Text: form_for; Tail: ($c, @url); Type: Mojolicious::Plugin::TagHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: format; Text: format; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: formline; Text: formline; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: ge; Text: ge; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getc; Text: getc; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getgrent; Text: getgrent; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getgrgid; Text: getgrgid; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getgrnam; Text: getgrnam; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: gethostbyaddr; Text: gethostbyaddr; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: gethostbyname; Text: gethostbyname; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: gethostent; Text: gethostent; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getlogin; Text: getlogin; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getnetbyaddr; Text: getnetbyaddr; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getnetbyname; Text: getnetbyname; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getnetent; Text: getnetent; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getpeername; Text: getpeername; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getpgrp; Text: getpgrp; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getppid; Text: getppid; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getpriority; Text: getpriority; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getprotobyname; Text: getprotobyname; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getprotobynumber; Text: getprotobynumber; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getprotoent; Text: getprotoent; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getpwent; Text: getpwent; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getpwnam; Text: getpwnam; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getpwuid; Text: getpwuid; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getservbyname; Text: getservbyname; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getservbyport; Text: getservbyport; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getservent; Text: getservent; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getsockname; Text: getsockname; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: getsockopt; Text: getsockopt; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: glob; Text: glob; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: gmtime; Text: gmtime; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: goto; Text: goto; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: gt; Text: gt; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: hex; Text: hex; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: hidden_field; Text: hidden_field; Tail: ($c, $name, $value); Type: Mojolicious::Plugin::TagHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: image; Text: image; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: import; Text: import; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: inactivity_timeout; Text: inactivity_timeout; Tail: ($c, $timeout); Type: Mojolicious::Plugin::DefaultHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: include; Text: include; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: index; Text: index; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: input_tag; Text: input_tag; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: int; Text: int; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: ioctl; Text: ioctl; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: is_fresh; Text: is_fresh; Tail: ($c, %options); Type: Mojolicious::Plugin::DefaultHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: javascript; Text: javascript; Tail: ($c); Type: Mojolicious::Plugin::TagHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: join; Text: join; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: keys; Text: keys; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: kill; Text: kill; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: label_for; Text: label_for; Tail: ($c, $name); Type: Mojolicious::Plugin::TagHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: last; Text: last; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: layout; Text: layout; Tail: null; Type: Mojolicious::Controller; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: lc; Text: lc; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: lcfirst; Text: lcfirst; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: le; Text: le; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: length; Text: length; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: link; Text: link; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: link_to; Text: link_to; Tail: ($c, $content); Type: Mojolicious::Plugin::TagHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: listen; Text: listen; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: local; Text: local; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: localtime; Text: localtime; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: lock; Text: lock; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: log; Text: log; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: lstat; Text: lstat; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: lt; Text: lt; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: mkdir; Text: mkdir; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: month_field; Text: month_field; Tail: ($c, $name); Type: Mojolicious::Plugin::TagHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: msgctl; Text: msgctl; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: msgget; Text: msgget; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: msgrcv; Text: msgrcv; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: msgsnd; Text: msgsnd; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: my; Text: my; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: ne; Text: ne; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: next; Text: next; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: no; Text: no; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: not; Text: not; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: number_field; Text: number_field; Tail: ($c, $name); Type: Mojolicious::Plugin::TagHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: oct; Text: oct; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: open; Text: open; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: opendir; Text: opendir; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: or; Text: or; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: ord; Text: ord; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: our; Text: our; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: pack; Text: pack; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: package; Text: package; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: param; Text: param; Tail: ($name); Type: Mojolicious::Controller; Icon: /method_gutter_icon.png; Type Icon: null
Lookups: password_field; Text: password_field; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: pipe; Text: pipe; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: pop; Text: pop; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: pos; Text: pos; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: print; Text: print; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: printf; Text: printf; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: prototype; Text: prototype; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: push; Text: push; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: quotemeta; Text: quotemeta; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: radio_button; Text: radio_button; Tail: null; Type: Mojolicious::Controller; Icon: /mojolicious.png; Type Icon: null
Lookups: rand; Text: rand; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: range_field; Text: range_field; Tail: ($c, $name); Type: Mojolicious::Plugin::TagHelpers; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: read; Text: read; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: readdir; Text: readdir; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: readline; Text: readline; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: readlink; Text: readlink; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: readpipe; Text: readpipe; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: recv; Text: recv; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: redo; Text: redo; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
Lookups: ref; Text: ref; Tail: null; Type: null; Icon: /subroutine_gutter_icon.png; Type Icon: null
